O	1	數	一	【替】tsi̍t	蜀	it			一/蕊/花/ 	一朵花	1.【數】數目。例：一蕊花　tsi̍t luí hue(一朵花)。											
O	1	形	一	【替】tsi̍t	蜀	it			紅嬰仔/哭/甲/一/身軀/汗/。	小嬰兒哭得滿身大汗。	2.【形】全部的、整個的。例：紅嬰仔哭甲一身軀汗。Âng-enn-á khàu kah tsi̍t sin-khu kuānn. (小嬰兒哭得滿身大汗。)　[近]全、規											
O	1	副	一	【替】tsi̍t	蜀	it			一/睏/仔/ 	一下子	3.【副】表示時間短、數量少、程度輕等。例：一睏仔　tsi̍t-khùn-á(一下子)、一絲仔　tsi̍t-si-á(一點點)。											
O	2	形	一	it	壹	【替】tsi̍t			/兩/个/生做/一/模/一/樣/。	他們兩個長得一模一樣。	3.【形】相同的。例：兩个生做一模一樣。In nn̄g ê senn-tsò it-bôo-it-iūnn. (他們兩個長得一模一樣。)　											
O	3	熟	一刀兩斷	it-to-lióng-tuān					/兩/兄弟/仔/為/著/拚生理/，/就按呢/一刀兩斷/無/來去/。	他們兄弟倆為了拚生意，就這樣斷絕關係，不相往來。	【熟】一刀斬成兩段，比喻斷絕關係。例：兩兄弟仔為著拚生理，就按呢一刀兩斷無來去。In nn̄g hiann-tī-á uī-tio̍h piànn sing-lí, tō án-ne it-to-lióng-tuān bô lâi-khì. (他們兄弟倆為了拚生意，就這樣斷絕關係，不相往來。)　											
X	4	副	一下	tsi̍t-ē					老母/一/下/死/，/囡仔/就/大/聲/吼/。	媽媽一死，小孩子就大聲的哭。	2.【副】表示兩個動作間的連續狀況，相當於華語「一……就……」。例：老母一下死，囡仔就大聲吼。Lāu-bú tsi̍t-ē sí, gín-á tō tuā-siann háu. (媽媽一死，小孩子就大聲的哭。)　											
X	4	助	一下	tsi̍t-ē					氣/一/下/袂/講話/。	氣得說不出話來。	3.【助】連接動詞及補語，相當於華語「得」。例：氣一下袂講話。Khì tsi̍t-ē bē kóng-uē. (氣得說不出話來。)　											
O	6	時	一月日	tsi̍t gue̍h-ji̍t/tsi̍t ge̍h-li̍t			一個月		你/一月日/趁/偌濟/錢/？	你一個月賺多少錢？	【時】一個月。例：你一月日趁偌濟錢？Lí tsi̍t gue̍h-ji̍t thàn guā-tsē tsînn? (你一個月賺多少錢？)　											
O	7	熟	一日到暗	tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm			規工、規日		你/毋/好/一日到暗/拋拋走/。	你不要一天到晚四處亂跑。	【熟】一天到晚、從早到晚，整天。例：你毋好一日到暗拋拋走。Lí m̄-hó tsi̍t-ji̍t-kàu-àm pha-pha-tsáu. (你不要一天到晚四處亂跑。)　											
O	9	名	一世人	tsi̍t-sì-lâng	一世儂		一生、規世人、透世人		我/一世人/毋/捌/做/過/對/不/起/別人/的/代誌/。	我一輩子不曾做過對不起他人的事。	【名】一輩子。例：我一世人毋捌做過對不起別人的代誌。Guá tsi̍t-sì-lâng m̄-bat tsò-kuè tuì-put-khí pa̍t-lâng ê tāi-tsì. (我一輩子不曾做過對不起他人的事。)　											
